date,LLM_Triplet
2022-01-11,"
{
  ""impact cases"": [
    ""Tesla's stock appears to form a diamond pattern, which often indicates a bearish trend and potential decline."",
    ""Tesla underperformed the market compared to other car companies."",
    ""ARK Invest CEO Cathie Wood suggests that traditional car companies may outperform electric-vehicle manufacturers like Tesla in the future."",
    ""ARK Invest's ETFs have faced challenges in recent months after strong performance in 2020, partly due to Tesla's gains.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla's stock"",
      ""relation"": ""could potentially decline"",
      ""tail"": ""due to a diamond pattern formation""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""underperformed the market"",
      ""tail"": ""compared to other car companies""
    },
    {
      ""head"": ""Cathie Wood"",
      ""relation"": ""suggests that traditional car companies"",
      ""tail"": ""may outperform electric-vehicle manufacturers like Tesla""
    },
    {
      ""head"": ""ARK Invest's ETFs"",
      ""relation"": ""have faced challenges in recent months"",
      ""tail"": ""partly due to Tesla's stock performance""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""is considered the vanguard of the EV wave"",
      ""tail"": ""but other car companies may outperform it in the future""
    }
  ]
}
"
2022-01-12,"
{
 ""impact cases"": [
  ""Shares reduced by 0.58%"",
  ""The holding were 219 shares as of 2021-12-31."",
  ""The holding were 790 shares as of 2021-12-31.""
 ],
 ""triplets"": [
  {
   ""head"": ""Tesla Inc"",
   ""relation"": ""sold-shares"",
   ""tail"": ""0.58%""
  },
  {
   ""head"": ""Bridge Creek Capital Management LLC"",
   ""relation"": ""bought-shares"",
   ""tail"": ""219""
  },
  {
   ""head"": ""Rye Brook Capital LLC"",
   ""relation"": ""bought-shares"",
   ""tail"": ""790""
  },
  {
   ""head"": ""Bridge Creek Capital Management LLC"",
   ""relation"": ""bought-avg-price"",
   ""tail"": ""$1012.35""
  },
  {
   ""head"": ""Rye Brook Capital LLC"",
   ""relation"": ""bought-avg-price"",
   ""tail"": ""$1012.35""
  }
 ]
}
"
2022-01-13,"
{
  ""impact cases"": [
    ""Tesla is pushing back its plan to begin production of its much-anticipated Cybertruck to the end of the first quarter of 2023."",
    ""The delay comes as Tesla is changing features and functions of the electric pickup to make a compelling product as competition heats up in the segment."",
    ""Tesla has missed out on the pickup truck segment, which is profitable and hugely popular in America."",
    ""Ford Motor and Rivian Automotive are ahead of Tesla in launching electric pickups.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla Cybertruck"",
      ""relation"": ""delayed production"",
      ""tail"": ""end of Q1 2023""
    },
    {
      ""head"": ""Tesla Cybertruck delay"",
      ""relation"": ""reason"",
      ""tail"": ""feature and function changes""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""lacks"",
      ""tail"": ""pickup truck segment""
    },
    {
      ""head"": ""Pickup truck segment"",
      ""relation"": ""profitable and popular"",
      ""tail"": ""America""
    },
    {
      ""head"": ""Electric pickup truck market"",
      ""relation"": ""competition"",
      ""tail"": ""Ford Motor and Rivian Automotive""
    }
  ]
}
"
2022-01-14,"
{
  ""impact cases"": [
    ""A 19-year-old security researcher and coding enthusiast recently claimed he exposed vulnerabilities in Teslas (TSLA) - Get Tesla Inc Report connected keyless entry and driving system by remotely unlocking doors and windows of several cars, tuning into the car stereo, flashing car headlights and even starting their engines to drive."",
    ""David Colombo, an information technology security specialist, who runs IT security services company Colombo Technology in Germany said he was able to hack into more than 25 Tesla vehicles in more than 13 countries, earlier this week.""
  ],
  ""triplets"": [
    {
      ""head"": ""19-year-old security researcher"",
      ""relation"": ""exposed vulnerabilities in"",
      ""tail"": ""Tesla's connected keyless entry and driving system""
    },
    {
      ""head"": ""David Colombo"",
      ""relation"": ""hacked into"",
      ""tail"": ""more than 25 Tesla vehicles in more than 13 countries""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""used"",
      ""tail"": ""flawed third-party software""
    },
    {
      ""head"": ""Flaws in third-party software"",
      ""relation"": ""made possible"",
      ""tail"": ""Tesla hack""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""affected by"",
      ""tail"": ""security vulnerabilities""
    }
  ]
}
"
2022-01-15,"{
 ""impact cases"": [
  ""Tesla might not be starting production of its much-awaited and much-hyped Cybertruck in 2022."",
  ""The company removed the reference to the 2022 production start date from the Cybertruck page.""
 ],
 ""triplets"": [
  {
   ""head"": ""Tesla"",
   ""relation"": ""delayed production"",
   ""tail"": ""Cybertruck""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""removed production date"",
   ""tail"": ""Cybertruck""
  },
  {
   ""head"": ""Cybertruck"",
   ""relation"": ""production start date"",
   ""tail"": ""2022""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""production delay"",
   ""tail"": ""2022""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""production delay"",
   ""tail"": ""Cybertruck""
  }
 ]
}"
2022-01-16,"
{
  ""impact cases"": [
    ""Even if we adjust the above list by eliminating the high P/Es that come with Amazon and Tesla, these stocks are still trading at a lofty 34.0 times earnings, which translates to a meager earnings yield of 2.94%. If Treasury yields end up rising as many are predicting, this premium would also get squeezed away quickly."",
    ""While some have brushed off the metaverse, including Tesla Inc (NASDAQ:TSLA) CEO Elon Musk calling it a “marketing buzzword,” others see the opportunity as very real."",
    ""However, other notable events include Sen. Elizabeth Warrens deadline for the Federal Reserve to answer questions about inside stock trading made at the onset of the COVID-19 pandemic."",
    ""Additionally, FedEx is adding or increasing its shipping surcharges, and Tesla is raising its packages for Full Self Driving to $12,000.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""has high P/E ratio"",
      ""tail"": ""34.0 times earnings""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""earnings yield"",
      ""tail"": ""2.94%""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""CEO"",
      ""tail"": ""Elon Musk""
    },
    {
      ""head"": ""Elon Musk"",
      ""relation"": ""view on metaverse"",
      ""tail"": ""\""marketing buzzword\""""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""price increase"",
      ""tail"": ""Full Self Driving package to $12,000""
    }
  ]
}
"
2022-01-17,"{""error"": ""news blocked""}"
2022-01-18,"{""error"": ""news blocked""}"
2022-01-19,"
{
  ""impact cases"": [
    ""Tesla declined in the stock market recently due to declines from Apple and Amazon shares"",
    ""Megecap growth companies including Tesla and others saw a recent increase""
  ],
  ""triplets"": [
    {
      ""head"": ""Elon Goat Token Monument"",
      ""relation"": ""serves as an anchor to"",
      ""tail"": ""Elon Goat Token""
    },
    {
      ""head"": ""Danny Wang"",
      ""relation"": ""designed"",
      ""tail"": ""Elon Goat Monument""
    },
    {
      ""head"": ""Tesla's stock"",
      ""relation"": ""declined recently"",
      ""tail"": ""due to declines from Apple and Amazon shares""
    },
    {
      ""head"": ""Megecap growth companies"",
      ""relation"": ""increased recently"",
      ""tail"": ""including Tesla""
    },
    {
      ""head"": ""Kevin Stone"",
      ""relation"": ""compared"",
      ""tail"": ""Elon Musk to Nikola Tesla""
    }
  ]
}
"
2022-01-20,"
{
  ""impact cases"": [
    ""A Tesla employee died on the job at the automakers factory in Fremont, California early Wednesday morning."",
    ""Two Tesla employees — 29-year-old Anthony Solima and 42-year-old Lee Brasier — quarreled on the job. Solima allegedly shot and killed Brasier later that day."",
    ""Cal-Occupational Safety and Health Administration is currently investigating the circumstances of the death.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla employee"",
      ""relation"": ""died on the job"",
      ""tail"": ""at the Fremont factory in California""
    },
    {
      ""head"": ""Tesla employees"",
      ""relation"": ""quarreled on the job"",
      ""tail"": ""Anthony Solima allegedly shot and killed Lee Brasier""
    },
    {
      ""head"": ""Cal-OSHA"",
      ""relation"": ""investigating"",
      ""tail"": ""the circumstances of the death""
    },
    {
      ""head"": ""Reitz Capital Advisors LLC"",
      ""relation"": ""sold out"",
      ""tail"": ""a holding in Tesla Inc.""
    },
    {
      ""head"": ""Tesla Inc"",
      ""relation"": ""sale prices"",
      ""tail"": ""between $780.59 and $1229.91""
    }
  ]
}
"
2022-01-21,"
{
  ""impact cases"": [],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""Projected EPS"",
      ""tail"": ""$2.26""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""Projected sales"",
      ""tail"": ""$16.99 billion""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""has update"",
      ""tail"": ""first manufacturing plant in Germany""
    },
    {
      ""head"": ""Rheos Capital Works Inc"",
      ""relation"": ""purchase price for Tesla's stock"",
      ""tail"": ""$780.59-$1229.91""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""average purchase price by Rheos Capital Works Inc"",
      ""tail"": ""$1012.35""
    }
  ]
}
"
2022-01-22,"
{
 ""impact cases"": [
  ""Tesla (TSLA) - Get Tesla Inc Report shares jumped from $50.59 to $943.90."",
  ""That means that for long-term investors, Bitcoin has been a better investment than Amazon or Tesla, and, honestly, its not close."",
  ""The difference, of course, is that Amazon and Tesla sell stuff and that gives investors some basis for their valuations (even if they sometimes dont seem rooted in reality).""
 ],
 ""triplets"": [
  {
   ""head"": ""Tesla"",
   ""relation"": ""share price increased significantly in recent years"",
   ""tail"": ""from $50.59 to $943.90.""
  },
  {
   ""head"": ""Bitcoin"",
   ""relation"": ""performed better than Tesla for long-term investors"",
   ""tail"": ""especially over the past decade""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""valuation less certain"",
   ""tail"": ""compared to companies that sell physical products""
  },
  {
   ""head"": ""Floki crypto"",
   ""relation"": ""inspired by Tesla CEO Elon Musk's pet dog"",
   ""tail"": ""and his mission to take humans to Mars""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""shareholders may expect high returns"",
   ""tail"": ""based on past performance and Musk's ambitious plans""
  }
 ]
}
"
2022-01-23,"
{
  ""impact cases"": [
    ""Tesla Inc (NASDAQ:TSLA) began to accept and denominate merchandise on its online shop in Dogecoin earlier this month.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""accepts"",
      ""tail"": ""Dogecoin""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""denominates"",
      ""tail"": ""Dogecoin""
    },
    {
      ""head"": ""QQQ"",
      ""relation"": ""provides exposure"",
      ""tail"": ""Tesla""
    },
    {
      ""head"": ""IGM"",
      ""relation"": ""is more expensive than"",
      ""tail"": ""QQQ""
    },
    {
      ""head"": ""Expensiveness"",
      ""relation"": ""leads to"",
      ""tail"": ""Underperformance""
    }
  ]
}
"
2022-01-24,"
{
  ""impact cases"": [
    ""Tesla, Inc, sells The Home Depot Inc, Marathon Petroleum Corp, The Walt Disney Co, Marathon Oil Corp, Vanguard Dividend Appreciation FTF during the 3-months ended 2021Q4, according to the most recent filings of the investment company, MEMBERS Trust Co."",
    ""MEMBERS Trust Co initiated holding in Tesla Inc. The purchase prices were between $780.59 and $1229.91, with an estimated average price of $1012.35. The stock is now traded at around $930.000000.""
  ],
  ""triplets"": [
    {
      ""head"": ""MEMBERS Trust Co."",
      ""relation"": ""initiated holding in"",
      ""tail"": ""Tesla Inc.""
    },
    {
      ""head"": ""Tesla Inc."",
      ""relation"": ""purchase price"",
      ""tail"": ""$1012.35""
    },
    {
      ""head"": ""Tesla, Inc"",
      ""relation"": ""impacted portfolio due to purchase"",
      ""tail"": ""0.01%""
    },
    {
      ""head"": ""Tesla Inc."",
      ""relation"": ""current price"",
      ""tail"": ""$930.000000""
    },
    {
      ""head"": ""Tesla Inc."",
      ""relation"": ""sold by"",
      ""tail"": ""Portland, OR""
    }
  ]
}
"
2022-01-25,"
{
  ""impact cases"": [
    ""U.S auto safety regulators on Tuesday said they have sought additional information from Tesla Inc in its probe into 580,000 vehicles over the automaker’s decision to allow games to be played by passengers on the front center touchscreen."",
    ""In December, the National Highway Traffic Safety Administration (NHTSA) opened a preliminary evaluation into 2017-2022 Tesla Model 3, S, X, and Y vehicles over the vehicle’s “Passenger Play” feature the agency said “may distract the driver and increase the risk of a crash.”"",
    ""NHTSA wants records of any crash reports tied to the feature and for Tesla to furnish a chronology of events and studies supporting its risk assessment “in employment of front seat non-driving related tasks from in-vehicle based devices even if the task is intended only for front seat passenger.”""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""being investigated for"",
      ""tail"": ""allowing games to be played by passengers on the front center touchscreen""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""requested to provide"",
      ""tail"": ""records of any crash reports tied to the Passenger Play feature""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""asked to furnish"",
      ""tail"": ""a chronology of events and studies supporting its risk assessment""
    },
    {
      ""head"": ""Passenger Play feature"",
      ""relation"": ""may cause"",
      ""tail"": ""driver distraction and increase the risk of a crash""
    },
    {
      ""head"": ""NHTSA"",
      ""relation"": ""opened a preliminary evaluation"",
      ""tail"": ""into 2017-2022 Tesla Model 3 S X and Y vehicles""
    }
  ]
}
"
2022-01-26,"
{
  ""impact cases"": [
    ""Tesla missed on earnings due to a charge related to Elon Musk exercising stock options."",
    ""The charge could have been detailed ahead of time, given that Musk's plans to exercise options and sell shares were known for months.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""reported lower earnings than expected"",
      ""tail"": ""due to a one-time charge related to stock option exercises by Elon Musk""
    },
    {
      ""head"": ""Elon Musk"",
      ""relation"": ""exercised stock options and sold shares"",
      ""tail"": ""resulting in a charge that negatively impacted Tesla's earnings""
    },
    {
      ""head"": ""Tesla's management"",
      ""relation"": ""could have disclosed the potential charge ahead of time"",
      ""tail"": ""as Musk's plans to exercise options and sell shares were known for months""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""delivered more than 308,000 vehicles"",
      ""tail"": ""setting a quarterly record""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""maintained its long-term growth target of 50%"",
      ""tail"": ""but Musk indicated that the company would exceed this target""
    }
  ]
}
"
2022-01-27,"
{
  ""impact cases"": [
    ""Tesla Inc., down $108.31 to $829.10."",
    ""The electric vehicle maker said a computer chip shortage will stop the company from rolling out new models in 2022.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""stock price drop"",
      ""tail"": ""$108.31""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""impacted by"",
      ""tail"": ""computer chip shortage""
    },
    {
      ""head"": ""computer chip shortage"",
      ""relation"": ""halts"",
      ""tail"": ""Tesla new model rollout""
    },
    {
      ""head"": ""Tuttle Capital Short Innovation ETF"",
      ""relation"": ""bet against"",
      ""tail"": ""Cathie Wood""
    },
    {
      ""head"": ""Tuttle Capital Short Innovation ETF"",
      ""relation"": ""largest positions"",
      ""tail"": ""Tesla, Teladoc, Zoom Video""
    }
  ]
}
"
2022-01-28,"{""error"": ""news blocked""}"
2022-01-29,"
{
  ""impact cases"": [],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""is the top holding"",
      ""tail"": ""ARK Autonomous Technology & Robotics ETF""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""has a weighting of"",
      ""tail"": ""8.07%""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""is aiming to achieve"",
      ""tail"": ""Level 4 autonomy in 2022""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""is led by"",
      ""tail"": ""Elon Musk""
    },
    {
      ""head"": ""McDonald's"",
      ""relation"": ""will accept"",
      ""tail"": ""Dogecoin as a form of payment""
    }
  ]
}
"
2022-01-30,"
{
  ""impact cases"": [
    ""Tesla may offtake additional volume from Vidalia subject to Syrah expanding its capacity beyond the initial expansion.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""has offtake agreement"",
      ""tail"": ""Syrah Resources""
    },
    {
      ""head"": ""Syrah Resources"",
      ""relation"": ""supplies"",
      ""tail"": ""processed graphite""
    },
    {
      ""head"": ""Syrah Resources"",
      ""relation"": ""has initial expansion plan"",
      ""tail"": ""Vidalia""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""may offtake additional volume"",
      ""tail"": ""Vidalia""
    },
    {
      ""head"": ""Syrah Resources"",
      ""relation"": ""needs to expand capacity"",
      ""tail"": ""Tesla to offtake additional volume""
    }
  ]
}
"
2022-01-31,"
{
  ""impact cases"": [
    ""Diversified Portfolios, Inc. sold out a holding in Tesla Inc."",
    ""The sale prices were between $780.59 and $1229.91, with an estimated average price of $1012.35.""
  ],
  ""triplets"": [
    {
      ""head"": ""Diversified Portfolios, Inc."",
      ""relation"": ""SoldOut"",
      ""tail"": ""Tesla, Inc.""
    },
    {
      ""head"": ""Sale prices"",
      ""relation"": ""Between"",
      ""tail"": ""$780.59 and $1229.91""
    },
    {
      ""head"": ""EstimatedAveragePrice"",
      ""relation"": ""Equal"",
      ""tail"": ""$1012.35""
    },
    {
      ""head"": ""Greenville"",
      ""relation"": ""Based"",
      ""tail"": ""Current Portfolio""
    },
    {
      ""head"": ""Current Portfolio"",
      ""relation"": ""Sells"",
      ""tail"": ""Tesla, Inc.""
    }
  ]
}
"
2022-02-01,"
{
  ""impact cases"": [
    ""Tesla is recalling nearly 54,000 vehicles because their “Full Self-Driving” software lets them roll through stop signs without coming to a complete halt.""
  ],
  ""triplets"": [
    {
      ""head"": ""BYD Company Limited"",
      ""relation"": ""is catching up rapidly with"",
      ""tail"": ""Tesla, Inc.""
    },
    {
      ""head"": ""Elon Musk"",
      ""relation"": ""offered"",
      ""tail"": ""Jack Sweeney $5,000 to stop his tracking activity.""
    },
    {
      ""head"": ""President Joe Biden"",
      ""relation"": ""did not acknowledge"",
      ""tail"": ""Tesla.""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""is recalling nearly 54,000 vehicles"",
      ""tail"": ""because their “Full Self-Driving” software lets them roll through stop signs without coming to a complete halt.""
    },
    {
      ""head"": ""Tesla's “Full Self-Driving” software"",
      ""relation"": ""lets vehicles"",
      ""tail"": ""roll through stop signs without coming to a complete halt.""
    }
  ]
}
"
