date,news
2022-02-19,"['The rocket and space tech company started by Tesla (TSLA) - Get Tesla Inc Report co-founder Elon Musk raised $337.35 million in December, according to a filing with the Securities and Exchange Commission.\n\nThis round of funding has undoubtedly caused the valuation of the company to fly, which had already reached $100 billion dollars in October.', ""Tesla, in August 2020, announced a 5-for-1 split, giving every Tesla shareholder five shares of the company for each share of Tesla they owned.\n\nSpaceX didn't respond immediately to requests for comment."", 'One of these features is the FSD (Full Self Driving) in Tesla vehicles, something that was promised several years ago. Elon Musk took to social media once again in a new statement in which he predicts that said autonomy will be reached this very year, 2022.', 'We have seen in recent months how the first generation of vehicles that installed the FSD hardware has become somewhat outdated, while Tesla itself recently proposed a renewal of this hardware feature.', 'prediction caused many followers and specialists to ask for more details about it, to which Musk answered by going to his official Twitter account to reassure his full confidence in this technology and, later on, added that he plans to grant licenses for the use of FSD software to other automakers; by the way considering them about five years behind Tesla', 'The possibility of Tesla starting to sell its own FSD software to those other manufacturers would be a remarkable milestone for the company, since it would not only strengthen its position in the market as a vehicle manufacturer, but – maybe more importantly - also as a high-tech company, something that Elon Musk has been emphasizing for several years', ""now; in addition to the humanoid robot project - the Tesla Bot - presented last year during the celebration of the so-called 'AI Day'."", 'In any case, if the official deployment of fully autonomous driving (FSD) in Tesla vehicles is finally confirmed, it would be a heavy blow on the table as per the rest of the OEM brands in the automotive industry worldwide.\n\nAll images courtesy of Tesla Inc.\n\nNico Caballero is the VP of Finance of Cogency Power, specializing in solar energy.', 'He also holds a Diploma in Electric Cars from Delft University of Technology in the Netherlands, and enjoys doing research about Tesla and EV batteries. He can be reached at @NicoTorqueNews on Twitter. Nico covers Tesla and electric vehicle latest happenings at Torque News.', 'Tesla To Achieve FSD, Safer Than Humans, In 2022 - Elon Musk Dixit', ""Enthusiastic consumer interest in Tesla (TSLA) - Get Tesla Inc Report isn't enough to rank it as the Best Car Brand in the world or even the U.S. Tesla fans love the company's electric vehicles (EVs) but love doesn't translate to a high ranking when non-fanboy metrics get applied."", ""Tesla\n\nCar Brands Rank Higher Than Tesla\n\nFive U.S. car brands ranked higher than Tesla, including Buick (No. 11), Chrysler (No. 13), Dodge (No. 16), Cadillac (No. 21.), and Ford F (No. 22.) Chevrolet finished right on Tesla's heels, ranking No. 24 in the survey."", ""Ford EV Gets a Better Rating\n\nTesla also had disappointing results in Consumer Reports' electric vehicles Top Picks survey, as Ford Mustang Mach-E was No. 1 in this year's rankings, grabbing the title away from Tesla's Model 3, which held the top position in the two previous years."", 'Tesla Falls to Number 23 as Best Car Brand']"
2022-02-20,"['Microsoft shed 0.96 per cent, Apple 0.94 per cent, Tesla 2.21 per cent and Nvidia 3.53 per cent. Chipmaker Intel sagged 5.32 per cent following an “Underperform” rating from Bank of America.\n\nSeveral Federal Reserve policymakers spoke in favour of raising benchmark rates from record-low levels next month.', 'The enthusiasm that accompanied the IPO of the young electric vehicle manufacturer is based on the fact that it offers larger and bulkier models with the potential to respond more to consumer tastes than Tesla (TSLA) - Get Tesla Inc Report cars, for example.', ""And so, you think that analysts should be sort of like Tesla's (NASDAQ:TSLA) not a car company, Tesla is a tech company. This is the tech company of CPG, in your opinion?\n\nJL: I think at least the growth side is very similar. I'm not going to pretend that there's going to be so much innovation.""]"
2022-02-21,"[""Tesla Inc. (TSLA) has grown rapidly into one of the world's largest all-electric vehicle companies through the sale of cars and pickup trucks in the U.S., China, and other countries throughout the world. It has even become the most valuable automaker in the world by market capitalization."", 'Tesla faces growing competition from other major automakers who are developing and marketing electric vehicles, including General Motors Co. (GM), China-based Nio Inc. (NIO), as well as German-based automakers Volkswagen AG (VOW3) and Daimler AG (DMLRY).', 'Key Takeaways Tesla makes, sells, and services all-electric vehicles in the U.S., Europe, and China. It also sells energy generation products.\n\nThe company gets the vast majority of its revenue and all of its profits from automotive sales.\n\nTesla is experiencing rapid growth in China.', ""Tesla Financials\n\nTesla announced in late January financial results for its 2021 fiscal year (FY), which ended Dec. 31, 2021. Net income attributable to the company's common shareholders rose 665.5% during the year to $5.5 billion. Revenue expanded to $53.8 billion, up 70.7% compared to the previous year."", 'In its earnings release, Tesla said that its vehicle deliveries were up 87% in FY 2021. The company is looking to increase its manufacturing capacity as quickly as possible.', 'However, Tesla continues to face ongoing global supply chain challenges, which is limiting its ability to operate at full capacity.\n\nTesla Business Segments\n\nTesla operates through two main business segments: Automotive and Energy Generation and Storage.', 'On Feb. 3, 2022, Reuters reported that Tesla was recalling 817,000 vehicles in the U.S. due to a malfunction of the audible seatbelt reminder alert in certain vehicle models. To address the issue, the report said that Tesla would perform an over-the-air software update.', 'How Tesla Reports Diversity and Inclusiveness\n\nAs part of our effort to improve the awareness of the importance of diversity in companies, we offer investors a glimpse into the transparency of Tesla and its commitment to diversity, inclusiveness, and social responsibility.', 'We examined the data Tesla releases to show you how it reports the diversity of its board and workforce to help readers make educated purchasing and investing decisions.\n\nBelow is a table of potential diversity measurements.', 'It shows whether Tesla discloses its data about the diversity of its board of directors, C-Suite, general management, and employees overall, as is marked with a ✔. It also shows whether Tesla breaks down those reports to reveal the diversity of itself by race, gender, ability, veteran status, and LGBTQ+ identity.', 'How Tesla Makes Money: All-Electric Cars and Energy Generation', '(NASDAQ:GOOG), and Tesla, Inc. (NASDAQ:TSLA), among others discussed in detail below.\n\nOur Methodology\n\nThe stocks were picked from the fourth quarter regulatory filings of ARK Investment Management. The companies in which the fund trimmed a previously-held stake or sold it off completely feature on the list.', '(NASDAQ:GOOG), and Tesla, Inc. (NASDAQ:TSLA), Spotify Technology S.A. (NYSE:SPOT) is one of the stocks feeling the heat of an economic slowdown.\n\nIn its Q4 2020 investor letter, Guardian Fund, an asset management firm, highlighted a few stocks and Spotify Technology S.A. (NYSE:SPOT) was one of them.', '(NASDAQ:GOOG), and Tesla, Inc. (NASDAQ:TSLA), Sea Limited (NYSE:SE) is one of the stocks on the radar of elite investors.\n\nIn its Q4 2020 investor letter, Hayden Capital, an asset management firm, highlighted a few stocks and Sea Limited (NYSE:SE) was one of them.', 'He also curbed the Tesla Inc. ( TSLA, Financial) and Meta Platforms Inc. ( FB, Financial) stakes. The Acceleron Pharma Inc. ( XLRN, Financial) position was dissolved after being acquired by Merck & Co. Inc. ( MRK, Financial).', 'Tesla\n\nImpacting the equity portfolio by -0.39%, the investor trimmed his Tesla ( TSLA, Financial) stake by 3.71%, selling 223,005 shares. The stock traded for an average per-share price of $1,012.35 during the quarter.\n\nThe guru now holds 5.79 million shares total, accounting for his largest holding with 12.99% of the equity portfolio.', 'Tesla also has a high Piotroski F-Score of 8, meaning operations are healthy, and a one-star predictability rank.\n\nBaillie Gifford (Trades, Portfolio) has the largest stake in Tesla with 1.08% of outstanding shares.', 'Tesla Bull Ron Baron Drives Further Into EV Space With Rivian']"
2022-02-22,"['Tesla (TSLA)\n\nTesla fell hard today, nearly finishing the day at its lowest price since October. It appears that all of the trend lines have broken, and it seems possible this stock now has further to fall to around $775.\n\nTwilio (TWLO)\n\nTwilio looks like it wants to fill the gap at $121.', 'Spiro accused the commission of retaliating against Tesla and Musk for exercising First Amendment rights. The SEC declined comment Tuesday.\n\n___\n\nHedge fund returns to court in battle to buy Lee Enterprises\n\nOMAHA, Neb. (AP) — The hedge fund trying to buy newspaper publisher Lee Enterprises has returned to court.', 'Talon signed a nickel supply deal https://www.reuters.com/business/autos-transportation/tesla-signs-deal-first-us-supply-nickel-with-talon-metals-2022-01-10 with Tesla Inc last month. Talon has also agreed to remain neutral in any union organizing effort, the White House said.']"
2022-02-23,"['Investment company Current Portfolio ) buys Apple Inc, Microsoft Corp, Tesla Inc, Alphabet Inc, Amazon.com Inc, sells Medtronic PLC, Citigroup Inc, , Bristol-Myers Squibb Co, Texas Roadhouse Inc during the 3-months ended 2021Q4, according to the most recent filings of the investment company, JustInvest LLC.', 'Shares added by 33.07% Tesla Inc (TSLA) - 24,897 shares, 1.55% of the total portfolio. Shares added by 50.56%\n\nJustInvest LLC initiated holding in Hyatt Hotels Corp. The purchase prices were between $77.83 and $95.93, with an estimated average price of $85.5. The stock is now traded at around $94.370000.', 'JustInvest LLC added to a holding in Tesla Inc by 50.56%. The purchase prices were between $780.59 and $1229.91, with an estimated average price of $1012.35. The stock is now traded at around $764.040000. The impact to a portfolio due to this purchase was 0.52%. The holding were 24,897 shares as of 2021-12-31.', 'JustInvest LLC Buys Apple Inc, Microsoft Corp, Tesla Inc, Sells Medtronic PLC, Citigroup Inc,', 'The worst performers were Tesla Inc (NASDAQ: ) which was unchanged 0% to 856.98 in late trade, Moderna Inc (NASDAQ: ) which unchanged 0% to settle at 145.74 and Carnival Corporation (NYSE: ) which was unchanged 0% to 22.17 at the close.', 'After opening higher, eight of the 11 major S&P 500 sectors fell, while a 2.3% drop in Tesla dragged the Nasdaq lower. Twenty of the 30 Dow components were trading in the red.']"
2022-02-24,"['WASHINGTON—The Securities and Exchange Commission is investigating whether recent stock sales by Tesla Inc. Chief Executive Elon Musk and his brother, Kimbal Musk, violated insider-trading rules, according to people familiar with the matter.', 'The SEC’s investigation began last year after Kimbal Musk sold shares of Tesla valued at $108 million, one day before the Tesla chief polled Twitter users asking whether he should unload 10% of his stake in the electric-car maker and pledging to abide by the vote’s results.', 'SEC Probes Trading by Elon Musk and Brother in Wake of Tesla CEO’s Sales', 'Securities and Exchange Commission is investigating whether recent stock sales by Tesla Inc (TSLA.O) Chief Executive Elon Musk and his brother Kimbal Musk ""violated insider trading rules"", the Wall Street Journal reported on Thursday, citing people familiar with the matter.', 'According to the report, the investigation began last year after Kimbal sold shares of the electric carmaker valued at $108 million, a day before Musk polled Twitter users asking whether he should offload 10% of his stake in Tesla.', ""The SEC issued a subpoena on Nov. 16, ten days after Musk's poll, seeking information related to some financial data.\n\n1/2 A Tesla logo is seen at a groundbreaking ceremony of Tesla Shanghai Gigafactory in Shanghai, China January 7, 2019."", 'Last week, Musk accused the SEC of harassing him and Tesla with an ""endless"" and ""unrelenting"" investigation to punish him for being an outspoken critic of the government. read more\n\nElon Musk\'s share sales in November were automatically executed according to a trading plan he had created on Sept. 14, showed a filing disclosing share sales, including', ""Tesla's stock has fallen about 33% since Musk began selling billions of dollars worth of shares on Nov. 8, few days after the poll where 58% of voters asked him to sell. read more\n\nTesla and Kimbal Musk did not immediately respond to Reuters' requests for comment. A spokesperson for the SEC declined to comment."", 'SEC probes Elon Musk, brother Kimbal over Tesla share sales - WSJ', 'The $200 Billion Club lost its last member recently when Tesla (TSLA) - Get Tesla Inc Report CEO Elon Musk\'s wealth headed south.\n\n\'Thoughts and Prayers\'\n\nSo now there is no one of the face of the earth who has a fortune of more than $200 billion. At least for the moment.\n\n""Who the hell is going to take minutes at club meetings now?""', 'Musk’s wealth peaked at $340.4 billion on Nov. 4, when Tesla shares reached a record high, according to Fortune.\n\nCharitable Donations\n\nA few days later, Tesla shares slumped after Musk indicated he could sell around 10% of his stake in the clean-energy carmaker.', ""He donated more than $5 billion of Tesla stock to charity in November when the stock was well above $1,100, according to regulatory filings.\n\nMusk said on Feb. 15 that he owned 231,715 shares of Tesla, which is worth about $177 billion as of Wednesday's close."", 'In addition to Tesla, Musk has SpaceX, the rocket and space tech company he started which raised $337.35 million in December.\n\nSpaceX is not publicly yet traded but it is preparing to split its action.\n\nAccording to a report from CNBC, SpaceX is proposing to its privately-held shareholders to split their shares in a 10-for-1 ratio.', 'In a letter to the New York judge Alison Nathan by his lawyer, Musk alleged that the leaks, which intervene within the framework of an investigation by the federal agency on Tesla, are reprisals following recent criticisms that he made against the SEC.']"
2022-02-25,"['The stock demonstrated a mixed performance when compared to some of its competitors Friday, as Tesla Inc. TSLA, +1.14% rose 1.14% to $809.87, Toyota Motor Corp. ADR TM, +1.73% rose 1.73% to $185.38, and Ferrari N.V. RACE, -0.99% fell 0.99% to $213.42. Trading volume (4.3 M) remained 1.8 million below its 50-day average volume of 6.1 M.', 'Criticism of the Deal Continues\n\nThe choice of the United States Postal Service had been widely criticized by the White House, the EPA and The Zero Emission Transportation Association, which represents manufacturers of electric vehicles such as Tesla (TSLA) - Get Tesla Inc Report, Lucid (LCID) - Get Lucid Group, Inc.', 'The stock outperformed some of its competitors Friday, as Tesla Inc. TSLA, +1.14% rose 1.14% to $809.87, Toyota Motor Corp. ADR TM, +1.73% rose 1.73% to $185.38, and Bayerische Motoren Werke AG ADR BMWYY, +2.21% rose 2.21% to $33.27. Trading volume (78.1 M) remained 31.8 million below its 50-day average volume of 110.0 M.']"
2022-02-26,"['(NASDAQ:AAPL), Tesla, Inc. (NASDAQ:TSLA), and Alphabet Inc. (NASDAQ:GOOG) are some of the best options if you’re looking to invest in large-cap stocks.\n\n9. Origin Materials, Inc. (NASDAQ:ORGN)\n\n\n\nNumber of Hedge Fund Holders: 29\n\nOrigin Materials, Inc.', ""(RTTNews) - The US SEC is currently probing into the insider trading of Tesla Inc. (TSLA) CEO Elon Musk and his brother Kimbal Musk for possible violations of rules. The SEC is looking into the movement of Kimbal Musk's stock in the company before Elon famously announced the sale of 10% of his stock in the car manufacturer."", ""Buchholz is the SEC staff who is behind the probes against Tesla and Musk. Earlier on Monday, Musk's legal team filed a complaint against the investor watchdogs claiming that the SEC has leaked information about the probe. However, the types and extent of the said leaks were not confirmed."", ""According to the Journal, Kimbal Musk has sold 88,500 shares of Tesla from which he has received $109 million. The sale coincided with Musk's tweet on November 6th where he asked his followers about selling 10% of his stock in the company. Tesla stock drops significantly during the period."", 'Daiwa Capital Markets upgraded shares of Tesla (NASDAQ:TSLA – Get Rating) from a neutral rating to an outperform rating in a research report report published on Friday, Analyst Price Targets reports. Daiwa Capital Markets currently has $900.00 price target on the electric vehicle producer’s stock, down from their previous price target of $980.00.', 'Deutsche Bank Aktiengesellschaft increased their price target on Tesla from $1,000.00 to $1,200.00 and gave the stock a buy rating in a research report on Friday, December 31st. Canaccord Genuity Group increased their price target on Tesla from $1,040.00 to $1,200.00 in a research report on Friday, January 28th.', 'Wells Fargo & Company increased their price target on Tesla from $860.00 to $910.00 and gave the stock an equal weight rating in a research report on Thursday, January 27th. UBS Group increased their price target on Tesla from $725.00 to $1,000.00 and gave the stock a neutral rating in a research report on Tuesday, December 7th.', 'Get Tesla alerts:\n\nShares of NASDAQ TSLA opened at $809.87 on Friday. The firm has a market cap of $813.32 billion, a P/E ratio of 165.28, a price-to-earnings-growth ratio of 3.07 and a beta of 1.98. The company has a current ratio of 1.38, a quick ratio of 1.08 and a debt-to-equity ratio of 0.17.', 'Tesla has a 1-year low of $539.49 and a 1-year high of $1,243.49. The business’s 50 day moving average is $966.31 and its 200-day moving average is $919.03.\n\nTesla (NASDAQ:TSLA – Get Rating ) last announced its earnings results on Tuesday, January 25th.', 'Tesla had a return on equity of 20.36% and a net margin of 10.25%. The firm’s quarterly revenue was up 65.6% compared to the same quarter last year. During the same quarter last year, the company earned $0.24 earnings per share. Analysts forecast that Tesla will post 7.1 EPS for the current year.', 'BlackRock Inc. boosted its stake in shares of Tesla by 4.7% in the 3rd quarter. BlackRock Inc. now owns 52,829,488 shares of the electric vehicle producer’s stock worth $40,968,213,000 after buying an additional 2,377,179 shares during the last quarter. Banque Pictet & Cie SA boosted its stake in shares of Tesla by 38,084.4% in the 4th quarter.', 'Clear Street LLC purchased a new position in shares of Tesla in the 4th quarter worth approximately $1,447,578,000. Finally, State Street Corp boosted its stake in shares of Tesla by 4.0% in the 4th quarter.', 'Tesla Company Profile (Get Rating)\n\nTesla, Inc engages in the design, development, manufacture, and sale of fully electric vehicles and energy generation and storage systems. It also provides vehicle service centers, Supercharger stations, and self-driving capability.', ""Receive News & Ratings for Tesla Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings for Tesla and related companies with MarketBeat.com's FREE daily email newsletter."", 'Tesla (NASDAQ:TSLA) Upgraded to “Outperform” at Daiwa Capital Markets']"
2022-02-27,"[""High-end electric vehicle maker Tesla (TSLA) - Get Tesla Inc Report and its charismatic CEO Elon Musk have undoubtedly transformed the automotive industry.\n\nEven Musk's critics and naysayers -- and there are many of them -- are forced to acknowledge that the billionaire forced all vehicle manufacturers to convert to electrification."", ""German giant Volkswagen (VLKAF) is set to spin off luxury brand Porsche in hopes of unlocking value and catching up with Tesla.\n\nMusk's success and his ability to put Tesla at the center of automotive conversations have also allowed the emergence of new players like Rivian (RIVN) - Get Rivian Automotive, Inc."", 'Having become the richest man in the world due to the stock market rise of Tesla, of which he holds 21% of the shares, Musk is also one of those who have relaunched the conquest of space with SpaceX.\n\nIf his personality and his multiple controversies divide, it is however difficult to bet against Musk.', 'Musk now wants to expand the number of games compatible with Tesla cars. And to do this, he is aiming big. The billionaire wants to include more than 50,000 video games available on the popular platform Stream in the Tesla infotainment system.', 'Musk responded: ""We\'re working through the general case of making Steam games work on a Tesla vs specific titles. Former is obviously where we should be long-term.\n\nMusk did not give further details.', ""This announcement from Musk suggests that Tesla was not demotivated by the opening of an investigation in December by regulator National Highway Traffic Safety Administration after reports emerged that drivers can play video games on the car's touchscreen while in motion."", 'Tesla decided to disable the Passenger Play feature.', ""Making the Steam library accessible from Tesla Arcade, the video game space of the Tesla infotainment system, is a big step toward realizing this ambition. Ultimately, Tesla's objective would probably be to monetize access to this type of service."", 'But It makes sense to wonder how Tesla will manage to technically integrate super-advanced games from Stream.', 'Tesla cars already have high-end graphics cards in the Media control units and in the electronic control units, according to an update provided in November by the company.\n\nSince the introduction of video games in Arcade in 2019, the system currently offers around 20 games.', 'Elon Musk and Tesla Set Their Sights on a New Industry', 'Ark Funds CEO Cathie Wood previously called the metaverse a multitrillion dollar opportunity, while Tesla Inc (NASDAQ:TSLA) CEO Elon Musk called the metaverse a “marketing buzzword.”', 'The move comes on the heels of rumors that Tesla Inc (NASDAQ:TSLA) CEO Elon Musk could join the project. The rumors come from photographs of Musk with MoonPay co-founders and MoonPay’s recent purchases of two Bored Apes.\n\nCloneX from RTFKT, a company that Nike Inc (NYSE:NKE) is acquiring, gained two spots, moving from 10th to eighth place.']"
2022-02-28,"['Wood highlighted companies like Tesla Inc (NASDAQ:TSLA), Block Inc (NYSE:SQ) and MicroStrategy Inc (NASDAQ:MSTR) that have added Bitcoin to their balance sheets.\n\n“What’s the reason not to diversify?” Wood asked.', 'Tesla is a top holding across several funds. The Grayscale Bitcoin Trust (OTC:GBTC) is the third largest holding in the Ark Next Generation Internet ETF (NYSE:ARKW) at 7.2%.\n\nCoinbase Global Inc (NASDAQ:COIN) is the sixth largest holding in the flagship Ark Innovation ETF (NYSE:ARKK) at 5.4%.', 'Wood predicted in 2018 that Tesla shares would hit $4,000, which at the time was among the highest public targets. Tesla shares hit a split-adjusted $4,000 in January 2021.', 'The company and its stylish, clean-lined sedans are considered strong rivals to Tesla (TSLA) - Get Tesla Inc Report and its luxury models, the Model S sedan and the Model X SUV.\n\nLucid currently produces only one model, the Lucid Air sedan, which has a base price of $77,400.', 'Tesla Rival Lucid Delivers More Bad News', 'In late October, Lucid started deliveries of its $169,000 Lucid Air premium electric sedans, which have an estimated driving range of 520 miles (835 km) per change, a longer range than rival Tesla (NASDAQ: ).\n\nThe California-based startup delivered 125 cars to customers last year, falling short of its 2021 production target of 577 vehicles.']"
2022-03-01,"[""FILE PHOTO: The Tesla logo is seen on a car in Los Angeles, California, U.S., July 9, 2020. REUTERS/Lucy Nicholson\n\n(Reuters) - Australia's Core Lithium Ltd on Wednesday entered into an agreement with Tesla (NASDAQ: ) Inc to supply the U.S. electric car maker with lithium spodumene, sending its shares up 13% in early trading."", ""Core Lithium said it would supply Tesla with up to 110,000 dry metric tonnes of spodumene concentrate from its flagship Finniss Project in Australia's Northern Territory over four years."", ""The first lithium production from the Finniss project is scheduled for the fourth quarter in 2022, and the supply to Tesla is expected to commence in the second half of 2023, according to the term sheet https://\n\nIn October, Core Lithium had secured Chinese regulators' nod to supply the raw material used in making EV batteries to Ganfeng Lithium, one"", ""Tesla, the world's most valuable automaker, has signed similar deals with Australia's Liontown Resources and Syrah Resources over the past few months, as carmakers globally race to secure supplies of components used in making EVs."", ""Australia's Core Lithium enters into supply deal with Tesla, shares jump By Reuters"", ""Core Lithium and Tesla execute legally binding Term Sheet for the supply of lithium spodumene concentrate from Core's Finniss Lithium Project\n\nCore to supply up to 110kt of spodumene concentrate to Tesla over 4 years, with pricing referenced to market price for spodumene concentrate\n\nTesla to support Core with planned development of lithium chemical"", ""processing capacity\n\nTerm Sheet subject to execution of a definitive agreement\n\nAustralia's next lithium producer, Core Lithium Ltd (ASX: CXO) (Core or Company), is pleased to announce that it has entered into a legally binding Term Sheet with Tesla, Inc."", '(Tesla) for the supply of up to 110,000 tonnes of Li2O spodumene concentrate from the Finniss Lithium Project over a term of 4 years, with pricing referenced to the market price for spodumene concentrate, subject to a price floor and ceiling (Term Sheet).', 'Core Lithium Managing Director Stephen Biggins said:\n\n""The Term Sheet with Tesla is for the supply and delivery of up to 110,000 dry metric tonnes of spodumene concentrate over a term of 4 years. This adds to the previously announced binding offtake agreements with existing customers over 4 years.', '""Subject to execution of a definitive agreement, Core\'s supply to Tesla is scheduled to commence in 2H 2023 and will cease on the date that is 4 years after commencement of supply or until a total of up to 110,000 dry metric tonnes has been delivered.', '""Core Lithium is thrilled to have reached this agreement with Tesla and look forward to further growing this relationship in the years to come. Tesla is a world-leader in electric vehicles and its investment in offtake and interest in our expansion plans for downstream processing are very encouraging.""', ""Tesla has agreed, subject to execution of a definitive agreement, to provide additional support to Core to assist with the successful completion of its Stage 3 Expansion and the incorporation of Core's lithium chemical product into Tesla's supply chain."", 'Core Lithium : and Tesla enter into binding Term Sheet for the supply of lithium', 'Tesla (TSLA) Stock Moves -0.75%: What You Should Know']"
2022-03-02,"[""Yes, it is Tesla (TSLA) - Get Tesla Inc Report we are talking about. Apart from its very first model, the Roadster, the vehicles marketed by Elon Musk's company had names taken from the alphabet until Ford showed up. Model S for the luxury sedan, and the Model X for the luxury SUV/crossover."", 'After the Model X, Tesla wanted to introduce an entry-level vehicle to the market.\n\n""We have the S and the X and then a friend asked me at a party \'Hey what are you going to call the third-generation car?"" Musk told CNNMoney in 2014. ""Well, we\'ve got the S and the X so we might as well make it the E.""', 'When Tesla wanted to register the trademark, the firm encountered unexpected opposition: Ford. The Dearborn, Mich. automaker blocked the initiative.\n\n""Ford gave us a call and said they\'re gonna sue us for using Model E. And we\'re like, Ford\'s killing SEX. I mean, that\'s terrible!\'"" Musk told CNNMoney.', ""To prevent Tesla from using the letter E, Jim Farley's company mentioned a 2010 agreement between the two companies according to which Tesla could not use the letter E as the name of vehicles, reported Automotive News.\n\nCan Ford's Division Split Electrify the Stock Price?"", ""Tesla\n\nElon Musk has promised a lot and hasn't always delivered, the Tesla CEO's critics like to say. If they recognize him for having helped to transform the automotive sector to electrification, they very often remind him of his many broken promises."", ""TheStreet Quant Ratings rates Tesla as a Hold with a rating score of C+.\n\nGeneral Motors, Lordstown Motors\n\nThings don't seem to be looking up for cash-strapped electric vehicle startup Lordstown Motors (RIDE) - Get Lordstown Motors Corp. Class A Report."", 'Lucid\n\nTesla has managed to establish itself as the center of conversations in and around the automobile industry. Each vehicle manufacturer compares itself to the company co-founded and led by Elon Musk, but Lucid Group (LCID) - Get Lucid Group, Inc. Report wants to change this established order.', 'Electric Vehicle Checkpoint: Ford Tricked Tesla, Speeds its Move Into EVs', 'Aggregate Bond ETF, iShares Russell 1000 Value ETF, iShares MSCI EAFE ETF, iShares MSCI Emerging Markets ETF, iShares National Muni Bond ETF, sells PepsiCo Inc, Vanguard Information Technology ETF, Tesla Inc, Airbnb Inc, Berkshire Hathaway Inc during the 3-months ended 2021Q4, according to the most recent filings of the investment company, Rehmann Capital', 'Rehmann Capital Advisory Group reduced to a holding in Tesla Inc by 52.25%. The sale prices were between $780.59 and $1229.91, with an estimated average price of $1012.35. The stock is now traded at around $879.890000. The impact to a portfolio due to this sale was -0.27%. Rehmann Capital Advisory Group still held 3,356 shares as of 2021-12-31.', 'Aggregate Bond ETF, iShares Russell 1000 Value ETF, iShares MSCI EAFE ETF, Sells PepsiCo Inc, Vanguard Information Technology ETF, Tesla Inc', 'Lithium hopeful jumps on Tesla deal\n\nLithium hopeful Core Lithium Ltd (ASX: CXO) gained 15.2% after announcing that Tesla (NASDAQ: TSLA) had entered a contract to deliver 110,000 tonnes of concentrate at market prices beginning in 2023.']"
2022-03-03,"['The CEO of the luxury electric vehicle manufacturer Tesla (TSLA) - Get Tesla Inc Report seems to monitor access to the means of communication allowing Ukrainians not to be cut off from the world and above all to continue to tell the world about their daily life in order to avoid Russian propaganda.', 'Tesla electric vehicles for test driving are parked in Hanam, South Korea, July 6, 2020. Picture taken on July 6, 2020. REUTERS/Kim Hong-Ji Tesla electric vehicles for test driving are parked in Hanam, South Korea, July 6, 2020. Picture taken on July 6, 2020.', 'REUTERS/Kim Hong-Ji\n\nMarch 3, 2022\n\nTOKYO (Reuters) – Japan’s Panasonic Corp is looking to purchase land in the United States for a mega-factory to make a new type of electric vehicle (EV) battery for Tesla Inc, public broadcaster NHK reported on Friday.', 'Panasonic is looking at building the factory, to cost several billion dollars, in either Oklahoma or Kansas for their proximity to Texas, where Tesla is preparing a new EV plant, NHK reported. NHK gave no timeline for Panasonic’s U.S. project.\n\nNHK did not cite the source of its information.', 'A long-time supplier for Tesla, Panasonic has already announced plans to begin mass-producing the new type of lithium-ion battery for Tesla before the end of March 2024 with two new production lines at its western Japanese plant in Wakayama.', 'The 4680 format (46 millimetres wide and 80 millimetres tall) battery is about five times bigger than those currently supplied to Tesla, meaning the U.S. electric vehicle (EV) maker will be able to lower production costs.\n\nThe new powerpack is also expected to improve vehicle range.', 'Panasonic planning massive battery plant in U.S. to supply Tesla -NHK', 'TheStreet\n\nRivian Might Have Given Ford, GM, Tesla, and Lucid Fuel\n\nThe company must now try to put out two fires coming from two different fronts, knowing that this latest crisis is likely to significantly affect its image and reputation.', 'It cannot be ruled out that rivals like Ford (F) - Get Ford Motor Company Report, Tesla (TSLA) - Get Tesla Inc Report, GM (GM) - Get General Motors Company Report and Lucid Group (LCID) - Get Lucid Group, Inc. Report will use it in their commercial and marketing arguments.', 'Rivian Drops Unpopular Move That Could Benefit Tesla, GM and Ford']"
