date,triplet,head,relation,tail,sentence
2022-01-03,"{'head': 'Elon Musk', 'relation': 'is a fan of', 'tail': 'Dogecoin (CRYPTO: Doge)'}",Elon Musk,is a fan of,Dogecoin (CRYPTO: Doge),Elon Musk is a fan of Dogecoin (CRYPTO: Doge)
2022-01-03,"{'head': ""Elon Musk's tweets"", 'relation': 'can affect', 'tail': 'Dogecoin market'}",Elon Musk's tweets,can affect,Dogecoin market,Elon Musk's tweets can affect Dogecoin market
2022-01-03,"{'head': 'Tesla', 'relation': 'invested', 'tail': '1.5 billion USD into Bitcoin'}",Tesla,invested,1.5 billion USD into Bitcoin,Tesla invested 1.5 billion USD into Bitcoin
2022-01-03,"{'head': 'Tesla', 'relation': 'smashed', 'tail': 'quarterly record for deliveries'}",Tesla,smashed,quarterly record for deliveries,Tesla smashed quarterly record for deliveries
2022-01-04,"{'head': 'Lucid Group', 'relation': 'is seen as a potential competitor to', 'tail': 'Tesla'}",Lucid Group,is seen as a potential competitor to,Tesla,Lucid Group is seen as a potential competitor to Tesla
2022-01-04,"{'head': 'Tesla', 'relation': 'has a neutral rating and a $1,200 price target', 'tail': 'from BofA Securities analyst John Murphy'}",Tesla,"has a neutral rating and a $1,200 price target",from BofA Securities analyst John Murphy,"Tesla has a neutral rating and a $1,200 price target from BofA Securities analyst John Murphy"
2022-01-04,"{'head': 'Tesla', 'relation': 'saw a 28% and 29% sequential growth rate in deliveries and production', 'tail': 'in Q4 2021'}",Tesla,saw a 28% and 29% sequential growth rate in deliveries and production,in Q4 2021,Tesla saw a 28% and 29% sequential growth rate in deliveries and production in Q4 2021
2022-01-04,"{'head': 'Tesla', 'relation': 'has halted plans to expand capacity at Gigafactory Shanghai', 'tail': 'for unclear reasons'}",Tesla,has halted plans to expand capacity at Gigafactory Shanghai,for unclear reasons,Tesla has halted plans to expand capacity at Gigafactory Shanghai for unclear reasons
2022-01-04,"{'head': 'Tesla', 'relation': 'has delayed the production start of the Cybertruck and Semi', 'tail': 'to 2022 from 2021'}",Tesla,has delayed the production start of the Cybertruck and Semi,to 2022 from 2021,Tesla has delayed the production start of the Cybertruck and Semi to 2022 from 2021
2022-01-05,"{'head': 'Tesla', 'relation': 'sells', 'tail': 'four EV models'}",Tesla,sells,four EV models,Tesla sells four EV models
2022-01-05,"{'head': 'Tesla', 'relation': 'aims', 'tail': 'to deliver its second-generation roadster and Semi electric, commercial truck in 2023'}",Tesla,aims,"to deliver its second-generation roadster and Semi electric, commercial truck in 2023","Tesla aims to deliver its second-generation roadster and Semi electric, commercial truck in 2023"
2022-01-05,"{'head': 'Tesla', 'relation': 'produced', 'tail': '936,172 EVs in 2021'}",Tesla,produced,"936,172 EVs in 2021","Tesla produced 936,172 EVs in 2021"
2022-01-05,"{'head': 'General Motors', 'relation': 'paused', 'tail': 'retail sale of Chevrolet Bolt EV'}",General Motors,paused,retail sale of Chevrolet Bolt EV,General Motors paused retail sale of Chevrolet Bolt EV
2022-01-05,"{'head': 'Tesla Cybertruck', 'relation': 'likely', 'tail': 'to begin production at the end of this year'}",Tesla Cybertruck,likely,to begin production at the end of this year,Tesla Cybertruck likely to begin production at the end of this year
2022-01-06,"{'head': 'Tesla Inc', 'relation': 'fell', 'tail': 'between 2.1% and 3.3%'}",Tesla Inc,fell,between 2.1% and 3.3%,Tesla Inc fell between 2.1% and 3.3%
2022-01-06,"{'head': 'Tesla', 'relation': 'shown', 'tail': 'extremely difficult path to ramping EV manufacturing'}",Tesla,shown,extremely difficult path to ramping EV manufacturing,Tesla shown extremely difficult path to ramping EV manufacturing
2022-01-06,"{'head': 'Rivian stock', 'relation': 'slumped', 'tail': 'about 14% since the start of Wednesday'}",Rivian stock,slumped,about 14% since the start of Wednesday,Rivian stock slumped about 14% since the start of Wednesday
2022-01-06,"{'head': 'Rivian stock', 'relation': 'unproven', 'tail': 'in terms of investability'}",Rivian stock,unproven,in terms of investability,Rivian stock unproven in terms of investability
2022-01-06,"{'head': 'Tesla', 'relation': 'worth', 'tail': '$ 1.07 trillion'}",Tesla,worth,$ 1.07 trillion,Tesla worth $ 1.07 trillion
2022-01-07,"{'head': 'Tesla Inc.', 'relation': 'sold by', 'tail': 'McAdam, LLC'}",Tesla Inc.,sold by,"McAdam, LLC","Tesla Inc. sold by McAdam, LLC"
2022-01-07,"{'head': 'Tesla Inc.', 'relation': 'fell', 'tail': '3.5%'}",Tesla Inc.,fell,3.5%,Tesla Inc. fell 3.5%
2022-01-07,"{'head': 'Ford Motor Co.', 'relation': 'gearing up to compete with', 'tail': 'Tesla'}",Ford Motor Co.,gearing up to compete with,Tesla,Ford Motor Co. gearing up to compete with Tesla
2022-01-07,"{'head': 'General Motors', 'relation': 'gearing up to compete with', 'tail': 'Tesla'}",General Motors,gearing up to compete with,Tesla,General Motors gearing up to compete with Tesla
2022-01-07,"{'head': 'Nvidia', 'relation': 'slid', 'tail': '3.3%'}",Nvidia,slid,3.3%,Nvidia slid 3.3%
2022-01-08,"{'head': 'Tesla', 'relation': 'price increase', 'tail': 'Full Self-Driving autopilot option'}",Tesla,price increase,Full Self-Driving autopilot option,Tesla price increase Full Self-Driving autopilot option
2022-01-08,"{'head': 'Tesla', 'relation': 'price increase', 'tail': 'Full Self-Driving autopilot option'}",Tesla,price increase,Full Self-Driving autopilot option,Tesla price increase Full Self-Driving autopilot option
2022-01-08,"{'head': 'Tesla', 'relation': 'price increase', 'tail': 'Full Self-Driving autopilot option'}",Tesla,price increase,Full Self-Driving autopilot option,Tesla price increase Full Self-Driving autopilot option
2022-01-09,"{'head': 'Tesla', 'relation': 'has benefited from', 'tail': 'cost advantage in electric vehicle production'}",Tesla,has benefited from,cost advantage in electric vehicle production,Tesla has benefited from cost advantage in electric vehicle production
2022-01-09,"{'head': 'Tesla', 'relation': 'has passed', 'tail': 'critical scale since 2017'}",Tesla,has passed,critical scale since 2017,Tesla has passed critical scale since 2017
2022-01-09,"{'head': 'Tesla', 'relation': 'has improved', 'tail': 'profits per vehicle'}",Tesla,has improved,profits per vehicle,Tesla has improved profits per vehicle
2022-01-09,"{'head': 'Tesla', 'relation': 'has declined', 'tail': 'sales per vehicle'}",Tesla,has declined,sales per vehicle,Tesla has declined sales per vehicle
2022-01-09,"{'head': 'Tesla', 'relation': 'can monetize on', 'tail': '3rd order effects'}",Tesla,can monetize on,3rd order effects,Tesla can monetize on 3rd order effects
2022-01-10,"{'head': 'Tesla', 'relation': 'signed a nickel supply deal with', 'tail': 'Talon Metals Corp.'}",Tesla,signed a nickel supply deal with,Talon Metals Corp.,Tesla signed a nickel supply deal with Talon Metals Corp.
2022-01-10,"{'head': 'Tesla', 'relation': 'committed to purchase', 'tail': '75,000 metric tons of nickel concentrates'}",Tesla,committed to purchase,"75,000 metric tons of nickel concentrates","Tesla committed to purchase 75,000 metric tons of nickel concentrates"
2022-01-10,"{'head': 'The deal', 'relation': 'is worth over', 'tail': '$1.5 billion'}",The deal,is worth over,$1.5 billion,The deal is worth over $1.5 billion
2022-01-10,"{'head': 'Nickel concentrates', 'relation': 'produced from', 'tail': ""Talon's Tamarack project""}",Nickel concentrates,produced from,Talon's Tamarack project,Nickel concentrates produced from Talon's Tamarack project
2022-01-10,"{'head': 'The price', 'relation': 'linked to', 'tail': 'London Metal Exchange’s cash-settlement'}",The price,linked to,London Metal Exchange’s cash-settlement,The price linked to London Metal Exchange’s cash-settlement
2022-01-11,"{'head': ""Tesla's stock"", 'relation': 'could potentially decline', 'tail': 'due to a diamond pattern formation'}",Tesla's stock,could potentially decline,due to a diamond pattern formation,Tesla's stock could potentially decline due to a diamond pattern formation
2022-01-11,"{'head': 'Tesla', 'relation': 'underperformed the market', 'tail': 'compared to other car companies'}",Tesla,underperformed the market,compared to other car companies,Tesla underperformed the market compared to other car companies
2022-01-11,"{'head': 'Cathie Wood', 'relation': 'suggests that traditional car companies', 'tail': 'may outperform electric-vehicle manufacturers like Tesla'}",Cathie Wood,suggests that traditional car companies,may outperform electric-vehicle manufacturers like Tesla,Cathie Wood suggests that traditional car companies may outperform electric-vehicle manufacturers like Tesla
2022-01-11,"{'head': ""ARK Invest's ETFs"", 'relation': 'have faced challenges in recent months', 'tail': ""partly due to Tesla's stock performance""}",ARK Invest's ETFs,have faced challenges in recent months,partly due to Tesla's stock performance,ARK Invest's ETFs have faced challenges in recent months partly due to Tesla's stock performance
2022-01-11,"{'head': 'Tesla', 'relation': 'is considered the vanguard of the EV wave', 'tail': 'but other car companies may outperform it in the future'}",Tesla,is considered the vanguard of the EV wave,but other car companies may outperform it in the future,Tesla is considered the vanguard of the EV wave but other car companies may outperform it in the future
2022-01-12,"{'head': 'Tesla Inc', 'relation': 'sold-shares', 'tail': '0.58%'}",Tesla Inc,sold-shares,0.58%,Tesla Inc sold-shares 0.58%
2022-01-12,"{'head': 'Bridge Creek Capital Management LLC', 'relation': 'bought-shares', 'tail': '219'}",Bridge Creek Capital Management LLC,bought-shares,219,Bridge Creek Capital Management LLC bought-shares 219
2022-01-12,"{'head': 'Rye Brook Capital LLC', 'relation': 'bought-shares', 'tail': '790'}",Rye Brook Capital LLC,bought-shares,790,Rye Brook Capital LLC bought-shares 790
2022-01-12,"{'head': 'Bridge Creek Capital Management LLC', 'relation': 'bought-avg-price', 'tail': '$1012.35'}",Bridge Creek Capital Management LLC,bought-avg-price,$1012.35,Bridge Creek Capital Management LLC bought-avg-price $1012.35
2022-01-12,"{'head': 'Rye Brook Capital LLC', 'relation': 'bought-avg-price', 'tail': '$1012.35'}",Rye Brook Capital LLC,bought-avg-price,$1012.35,Rye Brook Capital LLC bought-avg-price $1012.35
2022-01-13,"{'head': 'Tesla Cybertruck', 'relation': 'delayed production', 'tail': 'end of Q1 2023'}",Tesla Cybertruck,delayed production,end of Q1 2023,Tesla Cybertruck delayed production end of Q1 2023
2022-01-13,"{'head': 'Tesla Cybertruck delay', 'relation': 'reason', 'tail': 'feature and function changes'}",Tesla Cybertruck delay,reason,feature and function changes,Tesla Cybertruck delay reason feature and function changes
2022-01-13,"{'head': 'Tesla', 'relation': 'lacks', 'tail': 'pickup truck segment'}",Tesla,lacks,pickup truck segment,Tesla lacks pickup truck segment
2022-01-13,"{'head': 'Pickup truck segment', 'relation': 'profitable and popular', 'tail': 'America'}",Pickup truck segment,profitable and popular,America,Pickup truck segment profitable and popular America
2022-01-13,"{'head': 'Electric pickup truck market', 'relation': 'competition', 'tail': 'Ford Motor and Rivian Automotive'}",Electric pickup truck market,competition,Ford Motor and Rivian Automotive,Electric pickup truck market competition Ford Motor and Rivian Automotive
2022-01-14,"{'head': '19-year-old security researcher', 'relation': 'exposed vulnerabilities in', 'tail': ""Tesla's connected keyless entry and driving system""}",19-year-old security researcher,exposed vulnerabilities in,Tesla's connected keyless entry and driving system,19-year-old security researcher exposed vulnerabilities in Tesla's connected keyless entry and driving system
2022-01-14,"{'head': 'David Colombo', 'relation': 'hacked into', 'tail': 'more than 25 Tesla vehicles in more than 13 countries'}",David Colombo,hacked into,more than 25 Tesla vehicles in more than 13 countries,David Colombo hacked into more than 25 Tesla vehicles in more than 13 countries
2022-01-14,"{'head': 'Tesla', 'relation': 'used', 'tail': 'flawed third-party software'}",Tesla,used,flawed third-party software,Tesla used flawed third-party software
2022-01-14,"{'head': 'Flaws in third-party software', 'relation': 'made possible', 'tail': 'Tesla hack'}",Flaws in third-party software,made possible,Tesla hack,Flaws in third-party software made possible Tesla hack
2022-01-14,"{'head': 'Tesla', 'relation': 'affected by', 'tail': 'security vulnerabilities'}",Tesla,affected by,security vulnerabilities,Tesla affected by security vulnerabilities
2022-01-15,"{'head': 'Tesla', 'relation': 'delayed production', 'tail': 'Cybertruck'}",Tesla,delayed production,Cybertruck,Tesla delayed production Cybertruck
2022-01-15,"{'head': 'Tesla', 'relation': 'removed production date', 'tail': 'Cybertruck'}",Tesla,removed production date,Cybertruck,Tesla removed production date Cybertruck
2022-01-15,"{'head': 'Cybertruck', 'relation': 'production start date', 'tail': '2022'}",Cybertruck,production start date,2022,Cybertruck production start date 2022
2022-01-15,"{'head': 'Tesla', 'relation': 'production delay', 'tail': '2022'}",Tesla,production delay,2022,Tesla production delay 2022
2022-01-15,"{'head': 'Tesla', 'relation': 'production delay', 'tail': 'Cybertruck'}",Tesla,production delay,Cybertruck,Tesla production delay Cybertruck
2022-01-16,"{'head': 'Tesla', 'relation': 'has high P/E ratio', 'tail': '34.0 times earnings'}",Tesla,has high P/E ratio,34.0 times earnings,Tesla has high P/E ratio 34.0 times earnings
2022-01-16,"{'head': 'Tesla', 'relation': 'earnings yield', 'tail': '2.94%'}",Tesla,earnings yield,2.94%,Tesla earnings yield 2.94%
2022-01-16,"{'head': 'Tesla', 'relation': 'CEO', 'tail': 'Elon Musk'}",Tesla,CEO,Elon Musk,Tesla CEO Elon Musk
2022-01-16,"{'head': 'Elon Musk', 'relation': 'view on metaverse', 'tail': '""marketing buzzword""'}",Elon Musk,view on metaverse,"""marketing buzzword""","Elon Musk view on metaverse ""marketing buzzword"""
2022-01-16,"{'head': 'Tesla', 'relation': 'price increase', 'tail': 'Full Self Driving package to $12,000'}",Tesla,price increase,"Full Self Driving package to $12,000","Tesla price increase Full Self Driving package to $12,000"
2022-01-17,error: news blocked,-,-,-,
2022-01-18,error: news blocked,-,-,-,
2022-01-19,"{'head': 'Elon Goat Token Monument', 'relation': 'serves as an anchor to', 'tail': 'Elon Goat Token'}",Elon Goat Token Monument,serves as an anchor to,Elon Goat Token,Elon Goat Token Monument serves as an anchor to Elon Goat Token
2022-01-19,"{'head': 'Danny Wang', 'relation': 'designed', 'tail': 'Elon Goat Monument'}",Danny Wang,designed,Elon Goat Monument,Danny Wang designed Elon Goat Monument
2022-01-19,"{'head': ""Tesla's stock"", 'relation': 'declined recently', 'tail': 'due to declines from Apple and Amazon shares'}",Tesla's stock,declined recently,due to declines from Apple and Amazon shares,Tesla's stock declined recently due to declines from Apple and Amazon shares
2022-01-19,"{'head': 'Megecap growth companies', 'relation': 'increased recently', 'tail': 'including Tesla'}",Megecap growth companies,increased recently,including Tesla,Megecap growth companies increased recently including Tesla
2022-01-19,"{'head': 'Kevin Stone', 'relation': 'compared', 'tail': 'Elon Musk to Nikola Tesla'}",Kevin Stone,compared,Elon Musk to Nikola Tesla,Kevin Stone compared Elon Musk to Nikola Tesla
2022-01-20,"{'head': 'Tesla employee', 'relation': 'died on the job', 'tail': 'at the Fremont factory in California'}",Tesla employee,died on the job,at the Fremont factory in California,Tesla employee died on the job at the Fremont factory in California
2022-01-20,"{'head': 'Tesla employees', 'relation': 'quarreled on the job', 'tail': 'Anthony Solima allegedly shot and killed Lee Brasier'}",Tesla employees,quarreled on the job,Anthony Solima allegedly shot and killed Lee Brasier,Tesla employees quarreled on the job Anthony Solima allegedly shot and killed Lee Brasier
2022-01-20,"{'head': 'Cal-OSHA', 'relation': 'investigating', 'tail': 'the circumstances of the death'}",Cal-OSHA,investigating,the circumstances of the death,Cal-OSHA investigating the circumstances of the death
2022-01-20,"{'head': 'Reitz Capital Advisors LLC', 'relation': 'sold out', 'tail': 'a holding in Tesla Inc.'}",Reitz Capital Advisors LLC,sold out,a holding in Tesla Inc.,Reitz Capital Advisors LLC sold out a holding in Tesla Inc.
2022-01-20,"{'head': 'Tesla Inc', 'relation': 'sale prices', 'tail': 'between $780.59 and $1229.91'}",Tesla Inc,sale prices,between $780.59 and $1229.91,Tesla Inc sale prices between $780.59 and $1229.91
2022-01-21,"{'head': 'Tesla', 'relation': 'Projected EPS', 'tail': '$2.26'}",Tesla,Projected EPS,$2.26,Tesla Projected EPS $2.26
2022-01-21,"{'head': 'Tesla', 'relation': 'Projected sales', 'tail': '$16.99 billion'}",Tesla,Projected sales,$16.99 billion,Tesla Projected sales $16.99 billion
2022-01-21,"{'head': 'Tesla', 'relation': 'has update', 'tail': 'first manufacturing plant in Germany'}",Tesla,has update,first manufacturing plant in Germany,Tesla has update first manufacturing plant in Germany
2022-01-21,"{'head': 'Rheos Capital Works Inc', 'relation': ""purchase price for Tesla's stock"", 'tail': '$780.59-$1229.91'}",Rheos Capital Works Inc,purchase price for Tesla's stock,$780.59-$1229.91,Rheos Capital Works Inc purchase price for Tesla's stock $780.59-$1229.91
2022-01-21,"{'head': 'Tesla', 'relation': 'average purchase price by Rheos Capital Works Inc', 'tail': '$1012.35'}",Tesla,average purchase price by Rheos Capital Works Inc,$1012.35,Tesla average purchase price by Rheos Capital Works Inc $1012.35
2022-01-22,"{'head': 'Tesla', 'relation': 'share price increased significantly in recent years', 'tail': 'from $50.59 to $943.90.'}",Tesla,share price increased significantly in recent years,from $50.59 to $943.90.,Tesla share price increased significantly in recent years from $50.59 to $943.90.
2022-01-22,"{'head': 'Bitcoin', 'relation': 'performed better than Tesla for long-term investors', 'tail': 'especially over the past decade'}",Bitcoin,performed better than Tesla for long-term investors,especially over the past decade,Bitcoin performed better than Tesla for long-term investors especially over the past decade
2022-01-22,"{'head': 'Tesla', 'relation': 'valuation less certain', 'tail': 'compared to companies that sell physical products'}",Tesla,valuation less certain,compared to companies that sell physical products,Tesla valuation less certain compared to companies that sell physical products
2022-01-22,"{'head': 'Floki crypto', 'relation': ""inspired by Tesla CEO Elon Musk's pet dog"", 'tail': 'and his mission to take humans to Mars'}",Floki crypto,inspired by Tesla CEO Elon Musk's pet dog,and his mission to take humans to Mars,Floki crypto inspired by Tesla CEO Elon Musk's pet dog and his mission to take humans to Mars
2022-01-22,"{'head': 'Tesla', 'relation': 'shareholders may expect high returns', 'tail': ""based on past performance and Musk's ambitious plans""}",Tesla,shareholders may expect high returns,based on past performance and Musk's ambitious plans,Tesla shareholders may expect high returns based on past performance and Musk's ambitious plans
2022-01-23,"{'head': 'Tesla', 'relation': 'accepts', 'tail': 'Dogecoin'}",Tesla,accepts,Dogecoin,Tesla accepts Dogecoin
2022-01-23,"{'head': 'Tesla', 'relation': 'denominates', 'tail': 'Dogecoin'}",Tesla,denominates,Dogecoin,Tesla denominates Dogecoin
2022-01-23,"{'head': 'QQQ', 'relation': 'provides exposure', 'tail': 'Tesla'}",QQQ,provides exposure,Tesla,QQQ provides exposure Tesla
2022-01-23,"{'head': 'IGM', 'relation': 'is more expensive than', 'tail': 'QQQ'}",IGM,is more expensive than,QQQ,IGM is more expensive than QQQ
2022-01-23,"{'head': 'Expensiveness', 'relation': 'leads to', 'tail': 'Underperformance'}",Expensiveness,leads to,Underperformance,Expensiveness leads to Underperformance
2022-01-24,"{'head': 'MEMBERS Trust Co.', 'relation': 'initiated holding in', 'tail': 'Tesla Inc.'}",MEMBERS Trust Co.,initiated holding in,Tesla Inc.,MEMBERS Trust Co. initiated holding in Tesla Inc.
2022-01-24,"{'head': 'Tesla Inc.', 'relation': 'purchase price', 'tail': '$1012.35'}",Tesla Inc.,purchase price,$1012.35,Tesla Inc. purchase price $1012.35
2022-01-24,"{'head': 'Tesla, Inc', 'relation': 'impacted portfolio due to purchase', 'tail': '0.01%'}","Tesla, Inc",impacted portfolio due to purchase,0.01%,"Tesla, Inc impacted portfolio due to purchase 0.01%"
2022-01-24,"{'head': 'Tesla Inc.', 'relation': 'current price', 'tail': '$930.000000'}",Tesla Inc.,current price,$930.000000,Tesla Inc. current price $930.000000
2022-01-24,"{'head': 'Tesla Inc.', 'relation': 'sold by', 'tail': 'Portland, OR'}",Tesla Inc.,sold by,"Portland, OR","Tesla Inc. sold by Portland, OR"
2022-01-25,"{'head': 'Tesla', 'relation': 'being investigated for', 'tail': 'allowing games to be played by passengers on the front center touchscreen'}",Tesla,being investigated for,allowing games to be played by passengers on the front center touchscreen,Tesla being investigated for allowing games to be played by passengers on the front center touchscreen
2022-01-25,"{'head': 'Tesla', 'relation': 'requested to provide', 'tail': 'records of any crash reports tied to the Passenger Play feature'}",Tesla,requested to provide,records of any crash reports tied to the Passenger Play feature,Tesla requested to provide records of any crash reports tied to the Passenger Play feature
2022-01-25,"{'head': 'Tesla', 'relation': 'asked to furnish', 'tail': 'a chronology of events and studies supporting its risk assessment'}",Tesla,asked to furnish,a chronology of events and studies supporting its risk assessment,Tesla asked to furnish a chronology of events and studies supporting its risk assessment
2022-01-25,"{'head': 'Passenger Play feature', 'relation': 'may cause', 'tail': 'driver distraction and increase the risk of a crash'}",Passenger Play feature,may cause,driver distraction and increase the risk of a crash,Passenger Play feature may cause driver distraction and increase the risk of a crash
2022-01-25,"{'head': 'NHTSA', 'relation': 'opened a preliminary evaluation', 'tail': 'into 2017-2022 Tesla Model 3 S X and Y vehicles'}",NHTSA,opened a preliminary evaluation,into 2017-2022 Tesla Model 3 S X and Y vehicles,NHTSA opened a preliminary evaluation into 2017-2022 Tesla Model 3 S X and Y vehicles
2022-01-26,"{'head': 'Tesla', 'relation': 'reported lower earnings than expected', 'tail': 'due to a one-time charge related to stock option exercises by Elon Musk'}",Tesla,reported lower earnings than expected,due to a one-time charge related to stock option exercises by Elon Musk,Tesla reported lower earnings than expected due to a one-time charge related to stock option exercises by Elon Musk
2022-01-26,"{'head': 'Elon Musk', 'relation': 'exercised stock options and sold shares', 'tail': ""resulting in a charge that negatively impacted Tesla's earnings""}",Elon Musk,exercised stock options and sold shares,resulting in a charge that negatively impacted Tesla's earnings,Elon Musk exercised stock options and sold shares resulting in a charge that negatively impacted Tesla's earnings
2022-01-26,"{'head': ""Tesla's management"", 'relation': 'could have disclosed the potential charge ahead of time', 'tail': ""as Musk's plans to exercise options and sell shares were known for months""}",Tesla's management,could have disclosed the potential charge ahead of time,as Musk's plans to exercise options and sell shares were known for months,Tesla's management could have disclosed the potential charge ahead of time as Musk's plans to exercise options and sell shares were known for months
2022-01-26,"{'head': 'Tesla', 'relation': 'delivered more than 308,000 vehicles', 'tail': 'setting a quarterly record'}",Tesla,"delivered more than 308,000 vehicles",setting a quarterly record,"Tesla delivered more than 308,000 vehicles setting a quarterly record"
2022-01-26,"{'head': 'Tesla', 'relation': 'maintained its long-term growth target of 50%', 'tail': 'but Musk indicated that the company would exceed this target'}",Tesla,maintained its long-term growth target of 50%,but Musk indicated that the company would exceed this target,Tesla maintained its long-term growth target of 50% but Musk indicated that the company would exceed this target
2022-01-27,"{'head': 'Tesla', 'relation': 'stock price drop', 'tail': '$108.31'}",Tesla,stock price drop,$108.31,Tesla stock price drop $108.31
2022-01-27,"{'head': 'Tesla', 'relation': 'impacted by', 'tail': 'computer chip shortage'}",Tesla,impacted by,computer chip shortage,Tesla impacted by computer chip shortage
2022-01-27,"{'head': 'computer chip shortage', 'relation': 'halts', 'tail': 'Tesla new model rollout'}",computer chip shortage,halts,Tesla new model rollout,computer chip shortage halts Tesla new model rollout
2022-01-27,"{'head': 'Tuttle Capital Short Innovation ETF', 'relation': 'bet against', 'tail': 'Cathie Wood'}",Tuttle Capital Short Innovation ETF,bet against,Cathie Wood,Tuttle Capital Short Innovation ETF bet against Cathie Wood
2022-01-27,"{'head': 'Tuttle Capital Short Innovation ETF', 'relation': 'largest positions', 'tail': 'Tesla, Teladoc, Zoom Video'}",Tuttle Capital Short Innovation ETF,largest positions,"Tesla, Teladoc, Zoom Video","Tuttle Capital Short Innovation ETF largest positions Tesla, Teladoc, Zoom Video"
2022-01-28,error: news blocked,-,-,-,
2022-01-29,"{'head': 'Tesla', 'relation': 'is the top holding', 'tail': 'ARK Autonomous Technology & Robotics ETF'}",Tesla,is the top holding,ARK Autonomous Technology & Robotics ETF,Tesla is the top holding ARK Autonomous Technology & Robotics ETF
2022-01-29,"{'head': 'Tesla', 'relation': 'has a weighting of', 'tail': '8.07%'}",Tesla,has a weighting of,8.07%,Tesla has a weighting of 8.07%
2022-01-29,"{'head': 'Tesla', 'relation': 'is aiming to achieve', 'tail': 'Level 4 autonomy in 2022'}",Tesla,is aiming to achieve,Level 4 autonomy in 2022,Tesla is aiming to achieve Level 4 autonomy in 2022
2022-01-29,"{'head': 'Tesla', 'relation': 'is led by', 'tail': 'Elon Musk'}",Tesla,is led by,Elon Musk,Tesla is led by Elon Musk
2022-01-29,"{'head': ""McDonald's"", 'relation': 'will accept', 'tail': 'Dogecoin as a form of payment'}",McDonald's,will accept,Dogecoin as a form of payment,McDonald's will accept Dogecoin as a form of payment
2022-01-30,"{'head': 'Tesla', 'relation': 'has offtake agreement', 'tail': 'Syrah Resources'}",Tesla,has offtake agreement,Syrah Resources,Tesla has offtake agreement Syrah Resources
2022-01-30,"{'head': 'Syrah Resources', 'relation': 'supplies', 'tail': 'processed graphite'}",Syrah Resources,supplies,processed graphite,Syrah Resources supplies processed graphite
2022-01-30,"{'head': 'Syrah Resources', 'relation': 'has initial expansion plan', 'tail': 'Vidalia'}",Syrah Resources,has initial expansion plan,Vidalia,Syrah Resources has initial expansion plan Vidalia
2022-01-30,"{'head': 'Tesla', 'relation': 'may offtake additional volume', 'tail': 'Vidalia'}",Tesla,may offtake additional volume,Vidalia,Tesla may offtake additional volume Vidalia
2022-01-30,"{'head': 'Syrah Resources', 'relation': 'needs to expand capacity', 'tail': 'Tesla to offtake additional volume'}",Syrah Resources,needs to expand capacity,Tesla to offtake additional volume,Syrah Resources needs to expand capacity Tesla to offtake additional volume
2022-01-31,"{'head': 'Diversified Portfolios, Inc.', 'relation': 'SoldOut', 'tail': 'Tesla, Inc.'}","Diversified Portfolios, Inc.",SoldOut,"Tesla, Inc.","Diversified Portfolios, Inc. SoldOut Tesla, Inc."
2022-01-31,"{'head': 'Sale prices', 'relation': 'Between', 'tail': '$780.59 and $1229.91'}",Sale prices,Between,$780.59 and $1229.91,Sale prices Between $780.59 and $1229.91
